,name,titles,rating,comments
1495,Palash Halder,It is awesome and luxury phone worth buying it,5,"                    The media could not be loaded.
                



 Apple accessories are missing in the box"
1496,jitu,Apple what can I say,5,Excellent
1497,GatorBoys,Not meant for heavy gaming having heating issue in games,4,Good battery backup for normal usage. But having heating issues while playing COD and battery drains very fast in COD. Camera awesome one.
1498,Tejas Shah,I luv Apple,5,Wonderful to have iPhone specially who dies not want yo carry laptop and camera . I am due hard fan of iPhone
1499,Aditya sahu,best,5,
1500,Abhishek,Wonderful Phone & Experience,2,"Got this at a steal deal during Amazon Diwali Sale.Thank you Amazon and Apple for bringing this together. Though got lucky as the box I received had charger and earphones, which have now been discontinued in the future lot. :)"
1501,Sidharth,It’s tooo sencetive compare to old iPhones ….it mirror finish,4,Battery life is good and camera quality is ausum
1502,Shailendra,Nice mobile,5,Very beautiful
1503,Tarun,"Great phone, dont trust the rumors.",4,"Product is best, but little sad with the packgeing of product by amazon , just one little box, and there is no any extra precotion taken by vendor also like bubble rapp and proper dilivery box.And little disappointmet with dilivery time."
1504,Azhar Deshmukh,Amazing product,5,Amazing product using for about 9 months. Battery performance is superb and packaging was also proper at the time of delivery
1505,Amazon Customer,Bhangar phone,4,Bhangar phone
1506,Abhishek,Pure class and performance,2,"The phone is pure class and performance. Have been using it for a month now and I am pretty satisfied. The camera is excellent, battery life lasts a day easily with average usage. The screen works just fine and there’s no complaints whatsoever. The looks are amazing. The face recognition works great and it’s very secure and accurate. Overall, a great buy"
1507,Amazon Customer,Amazon is Trusted Avoiding Other review,5,Really I got my iPhone Brand new condition and battery health 100% really amazon give full safe delivery Everthing AmZing
1508,gagan dhindsa,So lovely,4,Badi mast mobile haiBur battery capacity kam hai
1509,Krishan K.,Heating problem,1,Not so good get heated after some activities
1510,Yash Agrawal,"Bought it for 38999, 64 gb variant my first experience with iphone is awesome",5,Awesome performance
1511,Shahul ,It’s iPhone. Nothing else required to justify its quality,5,One thing “It’s Apple”. Rest is known to all.I used multiple phones and even switched from apple but what apple provides you no other phones can.Bit disappointed with the delivery guy as he was trying to scratch my old phone so that the exchange can’t get completed.Amazon check and train your people to understand what is the difference between slight / light scratch and Crack!
1512,Abhishek,Everything is awesome,2,Amazing
1513,Mrinal cr7,superb phone in budget,4,great experience
1514,Senthilraja ,Disappointed with apple . No bloody adapter,5,Face ID. Doesn’t work all the time
1515,varun sharma,Good phone at good price,4,Good phone
1516,Rahul Shrestha,"Can we get a original ,good and new product?",5,"Got the good one literally works very good.Love this guy.I saw videos on YouTube that the Amazon is sending the fake mobiles but don’t trust those kind of stuff.Literally got the original one, new one and also the great trust before buying."
1517,Rajdeep G.,Very good,5,Sabse best
1518,Abhishek,Thank,2,Thanks
1519,Pragati,"Product: Must buy , Amazon delivery: Pathetic.",5,iPhone 11 gives all what you wish in phone and it's impossible in any other brand at this price. Specs may be visibly higher in android mobiles but hardware to software coordination output with almost zero issues is delivered by this mobile.
1520,Chandu,Battery backup is just ok.,5,"On the very first go, I liked this product alot. But a bit over rated. A beautiful piece an iphone has created."
1521,Girish Wadhwa,Thanks to the Seller and Amazon.,4,I have been reading a lot of negative reviews about seller but I have not faced any issues in my iPhone delivery or the question on the authenticity of the iPhone.Really love the amazing white beauty. No heating issues so far I have noticed.
1522,Amazon Customer,Its amazing,3,I gifted this to my wife and she is very happy with my surprise. The color is so romantic and beautiful. Its really beautiful. Thank you Amazon. ❤
1523,Neminath Chougala,Value for money,4,"My first ever Iphone. Got a very speed delivery. Altough have complain about packaging there was a dent in my iphone box, seems like mishandlingWould appreciated if packaging would have arrived in bubble wrap box.Rest loving the phone"
1524,Abhishek,Shifted from Oneplus 7 to Iphone 11,2,I will keep it short and clear1. Charger is too slow as it is 5W which is not impressive.2. Battery backup is not very good in respect of the quality of display it has.3. Display is not as impressive as i expected it to be.4. Camera is very good.5. Build quality Is very good.6. Looks are amazing.7. Sound quality is good too.
1525,Mrudula M.,Nice phone 📱,3,Cool
1526,DINESH KUMAR,Good,5,"There was a boot loop on the second day of usage as there was a software update. And took me two days to solve that! It was a hustle other than that , it’s working fine. I’ve had no issues yet."
1527,sarthak doye,Love the deal,4,"This is my first ever apple product. I have never wanted to shift from android to apple but this deal i just couldn't resist. The camera, the features, the price! I’m awestruck with the colour too! This is the best iPhone ever!"
1528,Ankit panwar ,Fantastic piece,4,Jakkas
1529,Md Jalal Uddin Ansari,Worth for every penny,5,My first iPhone. It doesn’t disappoint me buttery smooth usage and good battery life cameras are perfect even though im not a photo addict. Performance is lit. Bought the device from appario thanks for sending the original phn..
1530,Abhishek,Good,2,Awesome phone
1531,Yogi,iPhone 11,5,"Phone is a bit too big, I am not a great fan of large phones. Screen touch is smooth. Smoother than my other iPhones. Full screen is definitely helpful. Face recognition works like a charm, just look at the phone and it unlocks. Reads your eyes and facial features. Double click on the power button is a bit annoying to process payments."
1532,Amazon Customer,Problem in charger of something beyond my understanding,5,Phone is fully charged in 3 hours. However battery life is good. But seems problem in charger and not received any support from Amazon/Apple.
1533,Gurdip Singh Mattu,Masterpiece,4,"Apple - another masterpiece. Camera is so real followed by powerful processor. Such a superior experience so far. Hope this continues!Amazon - Delivery in less than 24 hours, you just nailed this prime thingi. Although i followed up, but you fullfilled your promise as usual. Kudos and thanks for delivering the device in such a perfect way... thank you..."
1534,kushank,Nice,5,Nice
1535,Priyadarshi,Unbeatable 🤩🤩🤩,5,Camera is superb for videographyGood for photography alsoProcessor: unbeatable performanceBattery: it may compromise if kit including a fast charger. Only 5w adapter will get 😑😑😑Network: is average performance 🥴Sometimes need to set flight modeIos: awesomePrice for value: iphone is iphone 🔥
1536,Abhishek,Battery health,2,"Sir i am facing battery issue with my iphone 11, with only 2 month uses i have lost 2% of battery health can you suggest me any settings or resolve my issue?"
1537,prakash,"Phone screen having big white spot, it was sealed pack",4,"Phone screen having big white spot, it was sealed pack"
1538,Ravi Kiraan Vijapurapuu,Good,4,Good
1539,Satish kaple,Good but battery life is little less compared to iPhone 12& XR,5,Good
1540,SeeRipStar,Good product,5,Good Product
1541,Amazon Customer,about phone,4,"Phone came in a great condition, its been more than 2 weeks of using phone im not facing any issue! Darshita seller is gud, but delivery is slow..Overall phone is good and I received an original appleProduct!"
1542,Abhishek,Gpu performance nd canera qality,2,I like camera performance maintain highligh easly front nd back both camera are awsm 😍display qality superbb👌 the benefit will be that the iPhone 11 will have better GPU performance.
1543,Varad Shisode,Camera and apple logo 😁😁,4,It’s osm camera is super but In portrait mode you don’t zoom 2x for better frameBattery life averageCamera superbDisplay averageFace id on fire mode
1544,Divyansh gupta,Good product.,5,"For me everything is fine .my phone was in good condition no over heating,no damage and no battery issue.And damm good smartphone. U can trust.This  review is posted  after using the phone for 12 hr.Thank u"
1545,Nitin pal,Truly an Apple,5,"Everything about this phon is perfect. Amazing picture quality, long battery life (as of now), value for money as compared to 11pro. Only that the weight of the mobile is a bit more which makes it feel like carrying a brick in pocket"
1546,Sudip Roy,"Totally worth it,u can go for it without having second thought when u are below iphone x",4,"Moved from 6 to 11 totally worth it, got it for 46,000 with one year accidental policy and free apple tvColor is awesomeU won’t regret after buyingI mainly used for my YouTube channel recordings"
1547,Keertan,Good,5,Good
1548,Abhishek,Nice,2,Nice Phone
1549,nikita patel,Camara,5,Everything good
1550,Balu Kamble,Good,5,Good
1551,Ismail,Nice,4,Great purchase
1552,PUJA CHOWDHURY,Good,4,Good
1553,Mystery,Green Color looks awesome,4,All good must go with green color
1554,Abhishek,Good same day delivery and original phone,2,The phone is original and good. Experience is good and during this pandemic period I am happy that I didn’t have to step out to buy an original iPhone
1555,Khushi G,"Problem in charging, that too it’s iPhone 11",4,The mobile is charging very slow. In the description it has written that the charger cable is fast. But it’s charging very very slow
1556,Siddhartha,Happy,5,Happy………..
1557,NAVEEN MAHOUR,Awesome phone .,5,"Awesome phone , no words to describe. Camera is the best."
1558,Vinod,Powerful,5,"Switched from iPhone 7.. Trust me with this price range this is best offering from Apple.Camera: 5/5Processor: 5/5Battery: 4/5Screen:4/5Best thing about iPhone is that you keep getting updates even after 3-4  years, which is still a worry for some flagship Android phone."
1559,Suraj kumar,Finaly Happy To Have iPhone 11,5,"I was waiting since 10 days for delivery, but no worries as finally happy to have my iPhone 11 (128) GB. I have upgraded from iPhone 6S and everything is awesome in this one. Thanks to Apple & Amazon for this lovely device. "
1560,Abhishek,Original product,2,Great product nicely packing all good and all working superb battery life display quality and camera was good all over good thank u seller
1561,mahesh,I want i phone bill ss,4,Product is so good working
1562,NIKHIL PATEL,Overall excellent,5,Product is really good.Battery performance is also good.Weight is little high compare with others.Purchased in festival season at 45k.My first iphone 😁One thing if you are big fan of android than pls don’t buy any IOS😂😂
1563,SOURAV RANA,Original product,5,You can buy this product at 52.7k at online apple store. Using hdfc card for limited period.
1564,Arjun Sarode,Overall is Very Good,4,"This Is My First iPhoneCamera Quality is Very Good,Battery back Up is Very GoodFace ID Reading Faster"
1565,Amazon Customer,You should buy it,5,"The phone is of perfect quality, works smoothly, has an amazing camera. I had my apprehensions about ordering online, but i’m happy with my purchase. Checking the legitimacy of the seller is important, after that you’re good to go!"
1566,Abhishek,Not bad,2,Nothing
1567,Srijan Gupta ,Its the Apple after all,5,"What a piece, nothing that the Apple comes out with is inferior to anything. If you want the best you pay a premium and once you become used to the iOs you will not want to lower your standard to anything less."
1568,Tejesh Janardhan,Great experience,5,As usual Apple iPhone is the best with a great user experience. iPhone 11 surprised me because I replaced my iPhone 6 for it. After 6 year many things changes except the trust and user experience. Very happy with the product.
1569,ANKIT PANDEY,Awesome...🤗😍,5,It is amazing product and better option for this year if will check apple 12 price...must buy from here with better deal.
1570,ShoppiE,Amazon is the best,5,Very happy to be a member of amazon💕
1571,Tarun,Good,5,Good
1572,Abhishek,Good,2,Good
1573,goglamwithsanjh,Apple lover but face recognition is a bit disappointing,5,The phone is amazing. I am an Apple lover so I love everything about Apple but the face recognition feature is a bit disappointing.
1574,Akash Gautam,BOSS OF ALL BRANDS,4,EXCELLENT BUT TO MY SURPRISE NO FINGER PRINT SENSOR.ITS OK.OVERALL PERFORMANCE IS EXCELLENT.BRAND MATTERS ALOT.
1575,Tushar,nycc,3,100%
1576,suresh purohit,Genuine quality product,5,The excellence of Apple come out in every aspect of this iPhone. One has to experience it to know it. Has given unblemished service for the past six months.
1577,Himan Debbarma,IS THE PHONE ORIGINAL,5,"DEAR SIR,I JUST DISCOVERED THAT THE BOX OF THE IPHONE IS NOT ORIGINAL. PLEASE CHECK THE SAME. NOW I AM WORRIED THAT THE PHONE I WAS USING WAS IT SERIOUSLY ORIGINAL OR A MASTER COPY."
1578,Abhishek,Power button issue,2,After using this iphone there is some mistake with the power button. When i try to lock my phone its not working.
1579,Shaik.chandbasha,Best phone,4,Camera quality is awesomeBattery will last you a day for normal usageDisplay won’t be an issue unless you closely watched
1580,Sandhiya Saravanan,Killer Mobile with awesome Cam n Battery 😍,5,If you want to switch to iOS from Android. This is the best mobile to do so. You will love it and I m loving it ❤️ Everything will be new if you use this after using android mobile 😊
1581,YOGRAJ,Best Phone,5,Best Camera and battery life is also amazing. In short the best
1582,Samarth pandey,good quality,5,it meets my expectations. i am happy with its performanve.Face reading is quick and fast
1583,CHANDNI,❤️❤️,4,
1584,Abhishek,don't buy iphone,2,not as expected camera quality is lower than k20 pro
1585,Shailendra Tyagi,Dont panic about buying your Iphone from Amazon,4,"Awesome service and fabulous product, this was my first ever electronic purchase for such a high end and expensive product and I was so sceptical to purchase it online but I have to whole heartedly thank Amazon for a wonderful expirience"
1586,LALJI KASHYAP,"No review needed,the name says it all",5,No review needed just thank you to amazon for safely delivering it to me. Coz every one knows there is no phone like an iphone
1587,T,Mast,5,mast product
1588,Vikas,Super,5,Superb
1589,Priyanka,Thik h,4,Thik h
1590,Abhishek,Best ever iPhone offer in Amazon great Indian sale,2,"My first iPhone , I'm very happy that I purchased  an I phone in best offer during Amazon great Indian sale .Best time to purchase iPhone on Amazon great Indian sale  .I bought iPhone 11 at 48000 during offer period"
1591,Abhishek T.,Superb,3,Superb performance ny iphone 11
1592,Sidhartha D.,I love,1,Very good
1593,chungong p.,Upgrade from I phone 7 to 11,5,The most I like about I phone 11 as below:1. Battery life.2. Camera n  Video3. Fast performance4. Lookes5. Face unlock
1594,Santosh Panchal,Very good,5,Like
1595,Simar,Genuine product,5,"After reading so many reviews on Amazon that Apple phone should not be purchased through Amazon, I bought this mobile but trust me. I got genuine product. Battery health was 100%I checked everything. All is well.  Thank you Amazon"
1596,Abhishek,Its really good 🙂👌 iPhone 11👌👏,2,"A very good phone,  battery life is decent if not too good.Overall good, particularly with the price tag."
1597,Amazon Customer,Iphone at discount,4,My first iphone. Was apprehensive of getting a cloned phone which is happening around nowdays. But fortunately there r mechanisms in place by amazon dat u can detect such things if u r careful. Nice phone n at an amazing discount.
1598,Mueez ahmad,Good,5,Good
1599,aman,It's totally once choice,4,It was a gift to my wife and as noted the brand makes a women screem. It's going good till date
1600,Ruchika,Terrific purchase,5,"The iPhone 11 delivers the charm of an iPhone. Right from the face recognition, battery life....the performance is top notch..Bought it for 62K and value for money.The above photo was taken in night mode only with the light from a covered oil lamp"
1601,Amazon Customer,Nice phone,5,Nice
1602,Abhishek,Worth buying,2,
1603,Rajiv P.,Amazingly good ❣️,5,
1604,Omsai,Superb,4,Very good experience
1605,Rajendra Pandit,Good product,4,"Today I received my phone, packaging and delivery of the item is good and I have received brand new phone, thanks amazon for the deel, in case if any issue found by me then i will report the problem, thank you"
1606,Suresha D,apple a luxury,5,apple a luxury to me
1607,Gururaj,Best ever,4,As a iPhone u don’t need any suggestions..just go for it
1608,Abhishek,Meets expectations,2,Very good product but a dent on the device is there and some roughness on the back of product but otherwise good one
1609,SOUVIK PODDAR,Hand marvelous!,5,"Switching from iPhone 8 to 11. Nice. Just a day passed, still need more days to provide feedback!"
1610,Avadhut khot,There are no ipod!!!! Its a gimmick,4,"There are no icons, customers are fooled by mentioning earpods instead of earphones. Also had issues while transferring data from.old phone."
1611,Lalu,Not the best,5,Battery life is not up to the mark...not satisfied with buying it... camera is good but not the best
1612,Shivam mhatre,The best of the best!!!!,4,"The phone is just brilliant. It’s lighter than the XR for sure. At least that’s how I felt it. Camera is brilliant, sound is amazing and the battery is strong. Love it. Will hold on to this for a long time now. I am happy to be associating myself with Apple. Their products might be expensive but they are long stay products. Thanks, Apple."
1613,Puneet Bhargava,NA,5,"The product is very useful, but mobile go’s to heat when charging."
1614,Abhishek,Camera is best and battery is worst.,2,"Iphone 11 don't come with finger-scanner it come with face scanner  , i am getting  trouble in battery life and battery is not up to the mark and secondary my battery health get decrease within one month now it is 97 percent and my phone overheat alot .Camera quality is great."
1615,V.G. Koshy,Nice,4,Nice
1616,Harpreet singh,Best phone,4,Best quality iphone
1617,Kunal Gupta,Superb.,4,Love everything about this phone.Satisfied.
1618,Amazon Customer,Bot iphone,4,Nothing
1619,Bilash,The best I’ve purchased so far,5,Well i was sceptical at the start to buy an iphone online because of the negative reviews but i gave it a go and i was amazed by amazon it is 100% legit and original and no issues at all
1620,Abhishek,Phone is good.,2,Phone is awesome. I jumped from iphone 7 to iphone 11. Its a great phone. But i am disgree with amazon that amazon does not give earpods and power adapter in this price. I bought this in 52000.
1621,Amazon Customer,Great mobile,5,Beautiful
1622,Jahan's ,nice one who lover bigger screen,2,6.1 inch screen big one but the display quality is awesome look good only buy apple lover not for everyone ☺️
1623,Bhanu goyal,Awesome,4,"Awesome experience with the User interface, little disappointed with the battery life, overall a best deal at this price"
1624,Medha Gupta,Genuine Product delivered by Amazon,5,Timely delivery of original product with good packaging by Amazon. The box was also in good condition.
1625,Inderpal S.,Like,5,Like nice
1626,Abhishek,Incredible iPhone!!!,2,Amazing
1627,Aman Kr Chauhan,Budget Apple,4,"Looks premium. Feels solid. Two cons noticed - First - Very bulky and heavy. Second - LCD screen is a let down.Overall, a good package."
1628,Deepak Deswal,Nothing,5,Ok
1629,Khushi,I phone 11,4,Awsome
1630,Shravan Magun,No Problem,3,Fast deliveryProduct was in 100% conditionNo problem so far. idk why people complain so much. I have no problem at all and the phone is working 100% without any problem.
1631,Amazon Customer,Heating issue,3,Phone heating is serious concern in this variant and Apple should do something for this as this is expensive phone and should not have such issue
1632,Abhishek,It’s cool for me..!,2,"Face id is awesome..! A13 also working fine and camera is average, night mode while taking pictures is pretty much better."
1633,PRIYA D.,Great but finger print scanner is lacking and battery is less than 3500 mah,2,Thank you Amazon. white I phone 11 however the camera quality and battery could be better. also a finger print scanner is missing.
1634,Mayank Watts,"Improve battery life ,no matter how much good phone it is, to use it we need battery",5,"Idk what this fringerprint reader is butmy phone touch is not so accurate,Camera is preety good it would be better if ultera wide had low fstopBattery sucks, using camera consumes too batteryit's been 4 month using it and Battery life is already in 97%"
1635,manjeet,Awesome phone,5,Thank you amazon and appario pvt ltd for delivering my phone in time and with good packaging with no defects and don’t decide by seeing YouTube videos circulating these days you can buy safely through amazon with appario pvt limited
1636,pradeep,Asm,4,Ams
1637,Amit Biswas,First time moving on ios,5,This is first time I moved to iOS from Android and it's amazing. This phone is performing exceptional very well with A13 bionic chipset on it. My main purpose was gaming to buy this phone and I found worth to spend lot of money on it.
1638,Abhishek,"I has good battery life ,purchased fast charger for best experience.",2,"Good battery life, fast charger purchased separately for best experience. I got I phone 11 , 128 gb in a cheaper deal from Amazon . Good camera , 1 day battery, smooth performance that’s all one need ."
1639,Priyanka verma,Amazing 😍 Mind-blowing Deal,5,"Amazing Product 👌. One of the best phone in world, battery 🔋 life is also quit good , camera quality is too good 😌,I m shifted on 11 from iPhone 7+ Best experienceThank Amazon for deal @48K"
1640,P k,Best think purchase in sale,5,I'm ordered this 16 on first day of sale 17 I received firstly I'm scared because i read some negative review on amazon bt nothing wrong happen i got this phone 46k on sale and it's beat deal ever 👍🏼👍🏼👍🏼
1641,Sandipta pal,Good,5,"The warranty started exactly from the day I switched it on.Good to use it. So smooth and photos, videos quality are awesome.The product was Brand new (Verified with the Model number in Settings)Thanks Amazon"
1642,Manish babariya,Genuine iPhone 11,4,Genuine iPhone 11 no problem in this device.But if you’re oneplus user do not ever think to switch to other brand you can’t use it cozz one plus is speed that no other phone can provide you 😭
1643,Aaisha Khanum,"Good phone, even better battery",5,"This phone is good regarding performance, and camera quality. Also recieved a fine product from the seller. Thank God!"
1644,Abhishek,"Good phone, decent price",2,"Changed from an Android to Apple and I can see the difference. Very fast response, exceptional camera quality"
1645,M Ramakrishna,Good,4,Good
1646,Aman Dwivedi,Superb,4,grt product
1647,Mohan Rao,iPhone 128Gb @53k,4,"I have never imagined in my life that I would use an iPhone but thanks to amazon which provided me this amazing phone at an unbelievable price. Thanks, Apple and Amazon for this wonderful smartphone. I never felt more satisfied."
1648,Himanshu Singh,Nice Build and Overall champion,1,Battery life is good. It can easily last for a day and a half with moderate usage. Performs well in day to day task. Mine is a made in india model which feels nice. Weight of the phone is a little downside. It feels heavy at 192gms
1649,Md Faiz,"Apple brand costly but ,best",5,"I think Apple's phones that make it different.This is my first phone.  I have never used Apple's phone before.It is known only after using it.I don't understand that the other company makes 64 megapixel cameras, but Apple's 12mp gives a good picture, why?"
1650,Abhishek,Nice mobile,2,Awesome
1651,suman koley,Happy with my purchase!,4,"Upgraded from iPhone 8 & i’m loving new features, camera performance & battery life. Face unlock is bit annoying though!"
1652,Jessica Laloo,Removing charger is like Selling a coffes cup without handle. Rest everything is best.,4,Best Quality
1653,Amrita,Cash back not given,5,My complaint is about cash back of Rs.1250. In the advertisement page it was mentioned about all benefits. Now Amazon is saying that thus cash back is nit available for flagship models. It was a kind of hidden agenda.
1654,Suprit..,Good,5,Super
1655,Ayush,Best iphone but android is better,5,Best iphone..best in class..but iphone smartphone is only for those who loves apple brand..otherwise android is more user freindly..
1656,Abhishek,Good Product,2,Beutifull
1657,Shivansh Rai,Fake commitment,5,Phone is gud but commitment made by the amazon is totally fake and will never purchase the product from amazon
1658,anurima roy,Best phone ever!!!!!!,4,Better performance-checkedBetter camera-checkedBetter UI-checkedIP rating-checkedNo ads like other UI-checked
1659,HDesai,Nice phone,5,Excellent phone . No hanging .battery is okey compared to earlier version.Migrated from iPhone 7 to iPhone 11 and no regrets
1660,Amazon Customer,owsome phone go for it,5,Very nice phone I got its below 50konly concern rn is 5watt charger it should be 20 watt
1661,Amazon Customer,Big fraud by Amazon by saying 7 days replacement,3,"                    The media could not be loaded.
                



 I received iPhone 11 yesterday and just after doing the initial setup as soon as I used the phone the touch screen stopped working and I was unable to swipe up and use the phone at all. I raised a exchange request immediately. But Amazon completely denied to exchange the phone even after it has 7 day replacement and suggested me to visit apple Care center for resolution. The product is not even repaired by Apple store and had been sent to Bangalore office.Amazon is selling all defective products in the sale at lower price so that they can fool customer with the cheaper price.Amazon has started fooling customer with the hidden policies."
1662,Abhishek,Very good,2,"Very good product... I am using iPhone from last 12 years... it’s too good , this is my 3rd iPhone and all r working...."
1663,Anonymous ,Quality,5,Prise
1664,Abhishek Jadhav,Product is okay that's all,5,Good camera Quality. Battery Backup is poor
1665,bala,Amazing,4,Good product as always by apple
1666,Bhavana,Earpods not received,4,While buying phone airpods was mentionedBut I have not received itI have only received wired earphone
1667,Hari,Worthful phone and Delivery service in discounted price....,5,Face unlock and Camera Quality are FAB!!! & Specially Thanks to Appario Retail Private Ltd for satified and trusted delivery....
1668,Abhishek,Phone Awesome. Amazon Service Bad.,2,MRP on product is 69k for 128gb variant but Amazon is selling for 73.6k saying revised price after April’2020. Is this justified?Also I have opted for 6 months no cost emi but when I see my credit card statement entire amount is due. Amazon now claiming that I have not opted for any emi option and asking me whether I took any screenshot while making payment. Such an unprofessional behaviourNow come to the phone-Everything is awesome except whenever you make call or incoming calls the network for that number dies and quality of call is terrible . I am using it as dual sim and not sure if it bcoz of this.Battery also taking too much time to get chargedMobile is heating after half an hour of use
1669,VASUDEVA RAO,Most advanced phone in my hand..!,5,"First time I'm ordering a huge amount in amazon, I have a little fear about previous comments from customers. Thank god 🙏 finally got my phone 📱 safe and no negative activities. I thank to the seller and amazon 🙂"
1670,Sandeep Kashyap,Value for money,4,"Very nice product and got charger, lightning cable and wired earpods inside box. And also no heating issue at all."
1671,Ayan Banerjee,Dont buy expensive phones or anything from amazon Poor customer care executives who is lying always,5,"In the offers they showed to give amazon pay balance as cashback, but their executive always make you fool and never provide me cashback,Dont buy expensive thing from amazon .."
1672,Sriharsha,Great phone,5,"Apple iPhone 11 does not need advertising or branding. I had been using iPhone 6 since 2015 so this was a pleasant upgrade. Great phone, good features..."
1673,Trilukesh,Must buy.... Very nice product,4,Thi is 📱iphone.... Fabulous
1674,Abhishek,Best phone in this price !,2,Battery life is good ....phone user interface is awesome .....
1675,Simeon Joseph,Good wishes from me to Amazon.in,5,Awesome product I really loved it thanks a lot Amazon because of you I switched to apple iPhone 11. The product is very nice and quality of the product is excellent. Very soon I will post photos as well.
1676,JKG,Good,4,Awesome
1677,Ritesh raman,Battery backup not proper or doing 1 day battery backup proper,4,Battery backup not proper after full charge not back up 1 day
1678,Rakesh Mondal,Satisfied,5,"Buying an iphone was a dream from my school time's,,, this was the 1st iphone ive ever used.. Very satisfied with quality of iphone.. And smooth perfomance,, good battery life.. Wow camare experience.. Over all very very satisfied with the product"
1679,Manoranjan Barik,Overall performance is good,5,Battery is good and i bought purple but red is looking good purple is looking like white only thats the thing im not satisfied with this and remaining performance is very good
1680,Abhishek,Genuine iphone 11,2,"Purchased on big billion day for 55k. Product was delivered on 22/Oct.Packing and delivery was deliveredone day earlier.Phone is extremely perfect, checked on everything, geniune one.Sound and camera is awesome? Unlock the device on low light."
1681,Sneha Singh,Great phone,5,Great phone.... Gifted this phone to my brother from another mother after my first dream govt job... It was a surprise for him... He almost cried when I presented him this phone... Since I haven't told him earlier about the job confirmation
1682,Anuradha,overall nice package by apple,5,Switched from oneplus one to iphone 11 (1+1 = 11)so basically 1st time ios user.user interface is direct and simple to use. it’s not gimmicky it’s just straight to the point.Camera is excellentbatterlife is fine18 watt charger should be provided instead of 5 wattcomfortable screen no issuesoverall nice package by apple
1683,Rohan Kuttaiah K B,iPhone 11,4,I had IPhone 7 earlier! But iPhone 11 is a very good upgrade from iPhone 7. Product is excellent!
1684,Mahaboob Basha,Worth it!,5,"Just the right phone for personal use.Pros: Using it for photography as well and the results are amazing.User interface, as always feel genuine.Cons: No adapter inside the package!"
1685,girishparmar,Superb phone with extra ordinary features,4,Superb i phone 11 with superb features ...I m loving it...Black colour is the royal one...N offcrse the camera quality is awsme one...Face recognition is too gud..Go for iphone 11. Specially black colour one which i bought from amazon..amazing phone👌👌👌
1686,Abhishek,Delivery,2,Package and all other things are good but delivery service was very bad. Almost took 10 days to deliver.
1687,ankit,Loved the features,5,Coming from android to iOS is a big shift. Honestly iOS is one of the smoothest UI I have ever come across. iPhone instantly becomes part of your life all thanks to a spate of features it possesses.
1688,Saurabh Tiwari,Nice 👍,5,Nice camera❤️❤️❤️❤️
1689,Vicky Gupta,Good phone for gaming,5,Super phone but battery is not so good but ok and no finger print that is the main problem but battery is fine
1690,Amazon Customer,Good,5,Good
1691,Raghav Khurana,The price is…terrible,5,Just four days the price go down 10000 rupees.
1692,Abhishek,Best phone,2,This is my first Iphone and after reading reviews i was in dilema that what i should do.  Bcs many have commented this a bad product. But after using this i am sure that this is superb product.
1693,sakthi priyan,My First IOS experience 🥰,5,liking every feature of it !will update more after few days of usageRegarding seller by seeing reviews i was very concerned  but now can say dont have a second thought and go for it
1694,Katie,Camera improvement,5,Battery backup is not good and I phone xr camera is better than  I phone 11
1695,Kuldeep singh,Best phone ever Thanks to Amazon and Seller and Apple I am very happy,4,Mind blowing and best iphone 11 in medium budget got it for 55k only 128 gb purple Thanks a ton to Amazon and seller and Apple I would highly recommend others to buy you will really enjoy
1696,Deepa Sree,Best buy if you can negotiate on battery,5,Phone is awesomeI mean the picture quality videography quality is above parI dont feel any significant problem in display it is crispSpeakers are awesomeYeah if you can negotiate somehow on battery it is beeast
1697,Ajer,4.5reting,5,Very good phone
1698,Abhishek,Beat in class,2,Best iPhone ever i use this iPhone until 1 year and this iPhone competes all the phones Till next 2023
1699,Dr Nitin Sharma,Amazing product at superb deal!,5,After reading so many negative reviews about the seller (Appario retail Pvt Ltd)I was so scared of product originality but I after receiving the product I m fully satisfied..got it at great discounted price thanks to seller and Amazon.
1700,mukul bhatt,Its good but battery life just ok,5,its awsm but definitely not value for moneyBattery life not so good just ok ok and other things was good nd yes ifvu buy this then its good for you because i must had to say that now after getting apple i m less using my mobile because they cant show u unnecessary notifications
1701,Dushyant,Cable is duplicate plz carefull,5,Phn k sath jo cable de rhe h vo original nhi h plz care full this farziwada
1702,Amazon Customer,"Apple iPhone 11 (128GB) - White (Includes EarPods, Power Adapter)",4,"It took them almost 11 days to deliver the product,but have faith you will get genuine product like me ;)"
1703,swapnil d nagare,Good,5,Good
1704,Abhishek,Battery champ great camera,2,Battery life is amazing..camera quality is very much good...and overall very satisfying with the product and its condition..!!!
1705,Sachin singh,Best,5,Just go for it phone 11 is the best apple phone in this range don t go for the reviews appario is trusted apple seller
1706,Pradeep,Good phone value for money,4,Face ID works fast and camera quality is good. Camera focus speed is faster than Samsung s20+ !
1707,vibhu tiwari,Apple is Apple.,5,How Can I express the joy of using a Apple device first time.It's Marvelous.
1708,Joy Choudhury,Camera needs improvement,4,"Cons: Average camera, some software malfunctioning ,battery life sucksPros: great look and built , good performance"
1709,Vasu,Average Mobile,5,"Over a good phone but display is bad... my one plus 5t has a better display quality compared to this... battery is average , on medium or less usage will last for a day.... At times there are heating issues.... the price is high considering the average display and battery.... The positive point is that the OS is buttery smooth..... Camera is good but not great"
